label,text
fraud,"नमस्ते, मैं एसबीआई का बैंक मैनेजर हूं, आपका डेबिट कार्ड समाप्त होने वाला है, क्या आप नया कार्ड जारी करना चाहेंगे।"
fraud,आज 4882 पर समाप्त होने वाले वोडाफोन नंबरों को £350 का पुरस्कार प्राप्त करने के लिए चुना गया है।यदि आपका नंबर मेल खाता है तो अपना £350 पुरस्कार प्राप्त करने के लिए 09064019014 पर कॉल करें।
normal,प्लीज़ ऐसा मत कहो.हाइ हाइ हाइ
normal,धन्यवाद!
normal,"ओह, वह एक अग्रेषित संदेश था।मुझे लगा कि आप उसे मुझे भेज देंगे।"
normal,समझ गया।सात सौ मिलीलीटर के लिए सत्रह पाउंड - आशा है ठीक है।
normal,मैं और वह बहुत मज़ेदार हैं...
normal,"जानेमन, आशा है कि आपका दिन उस तरह का नहीं होगा!मुस्कुराने के ढेरों कारणों वाला एक व्यक्ति हो।बायोला"
normal,जब आप दिनांक समय लॉगिन करते हैं... पिताजी अब आपको घर ला रहे हैं?
normal,"हम शॉवर में क्या करेंगे, बेबी?"
normal,मैंने आपसे कुछ घंटे पहले एक प्रश्न पूछा था।इसका उत्तर
normal,"खैर, मुझे निश्चित रूप से धन्यवाद देने से पहले पुनः स्टॉक करने की आवश्यकता है, जब मैं बाहर आऊंगा तो आपको बता दूंगा"
normal,"कहा चुंबन, चुंबन, मैं ध्वनि प्रभाव नहीं कर सकता!वह बहुत खूबसूरत आदमी है, है ना!एक ऐसा व्यक्ति जिसे अपने दिन को रोशन करने के लिए मुस्कान की आवश्यकता होती है!"
normal,संभवत: कुछ ही देर में झूलने वाला हूं।
normal,हां बहुत बढ़िया...गुरुवार को तैयार रहें।
normal,"ऐलो!हमने बहादुरी से बसों का मुकाबला किया, ट्रेनों का सफर किया और जीत हासिल की।मेरा मतलब है कि हम बाहम में हैं।सप्ताह के बाकी दिन आनंदमयी ढंग से बीतें"
normal,"कार्टून देखना, संगीत सुनना और मनोरंजन करनाशाम को मंदिर जाना था & amp;चर्च.. आपके बारे में क्या?"
normal,अगर मैं पूछूं कि क्या हुआ तो क्या आपको कोई आपत्ति होगी?यदि यह असुविधाजनक है तो आपको कहने की ज़रूरत नहीं है।
normal,कोई बात नहीं।मैं आपके ईमेल पर भेजूंगा.
fraud,"आपने ?1,000 नकद या ?2,000 का पुरस्कार जीता है!दावा करने के लिए 09050000327 पर कॉल करें।"
normal,यह अच्छा है!कभी-कभी धीमी और कोमल.कभी-कभी कठोर और कठिन।
normal,मैं नहीं कहूंगा.क्षमा मांगना।लेकिन मैं सामान्य तौर पर समय को लेकर घबराने लगा हूं।दोबारा माफी चाहूंगा!क्या आप मंगलवार को देख रहे हैं?
fraud,"हेलो सर, मैं जियो कस्टमर केयर से हूं, 23 घंटे में आपका सिम बंद हो जाएगा।क्या आप इसे सक्रिय करना चाहते हैं?"
fraud,"हेलो सर, मैं एयरटेल कस्टमर केयर से हूं, 23 घंटे में आपका सिम बंद हो जाएगा।क्या आप इसे सक्रिय करना चाहते हैं?"
fraud,"हेलो सर, मैं आइडिया कस्टमर केयर से हूं, 23 घंटे में आपका सिम बंद हो जाएगा।क्या आप इसे सक्रिय करना चाहते हैं?"
fraud,"हेलो सर, मैं वोडाफोन कस्टमर केयर से हूं, 23 घंटे में आपका सिम बंद हो जाएगा।क्या आप इसे सक्रिय करना चाहते हैं?"
