label,text
fraud,"namaste, maiM esabIAI kA baiMka mainejara hUM, ApakA DebiTa kArDa samApta hone vAlA hai, kyA Apa nayA kArDa jArI karanA chAheMge|"
fraud,Aja 4882 para samApta hone vAle voDAphona naMbaroM ko £350 kA puraskAra prApta karane ke lie chunA gayA hai|yadi ApakA naMbara mela khAtA hai to apanA £350 puraskAra prApta karane ke lie 09064019014 para kaॉla kareM|
normal,plIza aisA mata kaho.hAi hAi hAi
normal,dhanyavAda!
normal,"oha, vaha eka agreShita saMdesha thA|mujhe lagA ki Apa use mujhe bheja deMge|"
normal,samajha gayA|sAta sau milIlITara ke lie satraha pAuMDa - AshA hai ThIka hai|
normal,maiM aura vaha bahuta mazedAra haiM...
normal,"jAnemana, AshA hai ki ApakA dina usa taraha kA nahIM hogA!muskurAne ke DheroM kAraNoM vAlA eka vyakti ho|bAyolA"
normal,jaba Apa dinAMka samaya laॉgina karate haiM... pitAjI aba Apako ghara lA rahe haiM?
normal,"hama shaॉvara meM kyA kareMge, bebI?"
normal,maiMne Apase kuCha ghaMTe pahale eka prashna pUChA thA|isakA uttara
normal,"khaira, mujhe nishchita rUpa se dhanyavAda dene se pahale punaH sTaॉka karane kI AvashyakatA hai, jaba maiM bAhara AUMgA to Apako batA dUMgA"
normal,"kahA chuMbana, chuMbana, maiM dhvani prabhAva nahIM kara sakatA!vaha bahuta khUbasUrata AdamI hai, hai nA!eka aisA vyakti jise apane dina ko roshana karane ke lie muskAna kI AvashyakatA hotI hai!"
normal,saMbhavata: kuCha hI dera meM jhUlane vAlA hUM|
normal,hAM bahuta ba.DhiyA...guruvAra ko taiyAra raheM|
normal,"ailo!hamane bahAdurI se basoM kA mukAbalA kiyA, TrenoM kA saphara kiyA aura jIta hAsila kI|merA matalaba hai ki hama bAhama meM haiM|saptAha ke bAkI dina AnaMdamayI DhaMga se bIteM"
normal,"kArTUna dekhanA, saMgIta sunanA aura manoraMjana karanAshAma ko maMdira jAnA thA & amp;charcha.. Apake bAre meM kyA?"
normal,agara maiM pUChUM ki kyA huA to kyA Apako koI Apatti hogI?yadi yaha asuvidhAjanaka hai to Apako kahane kI zarUrata nahIM hai|
normal,koI bAta nahIM|maiM Apake Imela para bhejUMgA.
fraud,"Apane ?1,000 nakada yA ?2,000 kA puraskAra jItA hai!dAvA karane ke lie 09050000327 para kaॉla kareM|"
normal,yaha achChA hai!kabhI-kabhI dhImI aura komala.kabhI-kabhI kaThora aura kaThina|
normal,maiM nahIM kahUMgA.kShamA mAMganA|lekina maiM sAmAnya taura para samaya ko lekara ghabarAne lagA hUM|dobArA mAphI chAhUMgA!kyA Apa maMgalavAra ko dekha rahe haiM?
fraud,"helo sara, maiM jiyo kasTamara keyara se hUM, 23 ghaMTe meM ApakA sima baMda ho jAegA|kyA Apa ise sakriya karanA chAhate haiM?"
fraud,"helo sara, maiM eyaraTela kasTamara keyara se hUM, 23 ghaMTe meM ApakA sima baMda ho jAegA|kyA Apa ise sakriya karanA chAhate haiM?"
fraud,"helo sara, maiM AiDiyA kasTamara keyara se hUM, 23 ghaMTe meM ApakA sima baMda ho jAegA|kyA Apa ise sakriya karanA chAhate haiM?"
