label,text
normal,yaha jAnakArI hamAre sAtha sAjhA karane ke lie ApakA bahuta-bahuta dhanyavAda|
normal,अंत में उसे अभी भी उल्टी हो सकती है लेकिन यह ठीक है।सब कुछ सामने नहीं आएगा.
normal,siyAna... paryavekShaka se milane ke bAda 2 kAma mila gayA liyAo... kyA Apa abhI kAma kara rahe haiM?
normal,"प्रिय हीरो, मैं एक उपयुक्त अवसर के लिए आज रात कतर जा रहा हूं। कृपया &lt;ईमेल &gt; पर संपर्क बनाए रखें।,केरल"
normal,Can you use foreign stamps for whatever you send them off for?
normal,तो फिर कोई मुझसे बात क्यों नहीं करता
fraud,"Hello sir, you are ending ATM card validity today.  Please turn it on."
normal,Can you please send me my aunty's number
normal,दो लोगों के बीच दोस्ती की पवित्रता फॉरवर्ड किए गए मैसेज को पढ़कर मुस्कुराने में नहीं है..यह सिर्फ नाम देखकर मुस्कुराने में है।गुड इवंग मुस्तु
normal,I'm ok with it because i like to try new things. But i scared you done like me. because you said not too loud.
normal,vAha??lololo ThIka hai agalI bAra!
normal,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant."
normal,"अभी रात का खाना बना रहे हो, तुम?"
normal,eka AdamI kI dukhada kahAnI - piChale saptAha merA janmadina thA|merI patnI ne mujhe shubhakAmanA nahIM dI.mere mAtA-pitA bhUla gae aura mere bachche bhI bhUla gae|merA kAma para jAnA huA|yahAM taka ​​ki mere sahakarmI bhI nahIM chAhate the.
fraud,"महत्वपूर्ण जानकारी 4 नारंगी उपयोगकर्ता 0789xxxxxxx।आज आपका भाग्यशाली दिन है!2पता लगाएं कि क्यों http://www.urawinner.com पर लॉग इन करें, एक शानदार आश्चर्य आपका इंतजार कर रहा है!"
normal,यह बहुत अच्छा चल रहा है।लेकिन मुझे गणित की कुछ समस्याओं को हल करने में थोड़ी कठिनाइयों का सामना करना पड़ रहा है।
fraud,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 4 messages. You have 21 matches. Please call back on 09056242159 to retrieve your messages and matches
normal,"maiM tumhAre sAtha sinemA dekhane jAne kI socha rahA thA.dekhane ke lie eka achChI philma hai, lekina yadi Apa upalabdha nahIM haiM..."
normal,Where in abj are you serving. Are you staying with dad or alone.
normal,Fine am simply sitting.
normal,"ThIka hai, koyaMbaTUra meM saptAhAMta pAThyakrama karane kA prayAsa kareM|"
normal,ठीक है मेरे साथ भी ऐसा ही है.खैर स्पष्टीकरण के लिए धन्यवाद
normal,I called but no one pick up e phone. I ask both of them already they said ok.
fraud,TeksTa: naMbara: 86888 para kaॉla kareM aura abhI apane phona se upayoga karane ke lie 3 ghaMTe ke Taॉka TAima ke inAma kA dAvA kareM!sadasyatA leM6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv
normal,आपकी सलाह के लिए धन्यवाद सर।
normal,"सर गुडमॉर्निंग, एक बार फ्री में कॉल करें।"
normal,मैं सिर्फ अपने बारे में सोचता हूं...धन्यवाद और फिर मिलते हैं टोमो
normal,Actually i'm waiting for 2 weeks when they start putting ad.
normal,"oha ThIka hai, mujhe lagatA hai ki vesTaiMDIja aura nyUjIlaiMDa ke jyAdAtara khilA.DI nahIM bike|"
normal,"aura vaha insuleshana, baiMDaviDtha aura panaDubbiyoM ke bAre meM kuCha bakavAsa bolatA rahatA hai|maiM apanI haMsI nahIM roka sakA, isalie maiMne phona rakha diyA|"
normal,Yes i have. So that's why u texted. Pshew...missing you so much
normal,achChA mujhe dekhane deM|
normal,So are you excited about the upcoming holiday?
fraud,आपको 2000 पाउंड का पुरस्कार प्राप्त करने के लिए विशेष रूप से चुना गया है!लाइनें बंद होने से पहले 08712402050 पर कॉल करें।लागत 10 पीपीएम.16+.नियम एवं शर्तें लागू.एजी प्रोमो
normal,"चलो किसी रोमांचक जगह पर चलते हैं.जहां हम पैराग्लाइडिंग, स्काई डाइविंग और भी बहुत कुछ कर सकते हैं।"
fraud,kisI ne hamArI DeTiMga sevA se saMparka kiyA hai aura Apake phona meM pravesha kiyA hai kyoMki ve Apako pasaMda karate haiM! yaha jAnane ke lie ki yaha kauna hai laiMDalAina 09111030116 se kaॉla kareM| PoBox12n146tf15
